,구분,제조사,제조국,표준 장치명,세부 장치명,모델명,시설원예,한우,낙농,육우,양돈,양계,오리,사슴,양봉,곤충,말,KC 인증여부,동물용 의료기기 허가,특혀번호,주요기능,전송 구성도,사업 분야,농장명/업체명,농장주,모델명,수 량,계약 금액,사업 년도,판매 형태
35,시설원예,(주)한국더원,대한민국,환경제어기,환경제어기,HD22,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"*  스마트폰 및 웹상에서 온실환경을 확인, 감시, 기기조작,환경설정등 제어
       *  온실내의 식물 생육환경 현황의 계측자료를 실시간 동시   분석
       *  천창좌우, 수직커텐, 난방기등과  온,습도, 일사등 환경센서와 연계한 P벤드 제어
       *  신규 환경제어반 고장시 기존제어반으로 전환하여 기존 시스템에 의한 정상 운전 한다
       *  온도 설정과 난방설정, 습도설정에 의한 최소 편차로 정밀제어
       *  적외선 카메라로 인터넷상에서 확인, 감시, 저장관리 시스템 구성
       *  온,습도 변화에 따른 천창, 유동팬, 환풍기 등 그룹기기가 개별 설정에   비례제어
       *  난방은 온실환경 비교분석으로 창문제어와는 별도 12단계 정밀변온 난방 
       *  풍향,풍속, 강우센서에 의한 천창좌우등 각 기기와 연계 기상변화에 안전   성 구축
       *  유동팬등이 개별 프로그램 응용과 온, 습도에 의한 자동 운전
       *  차광막, 유동팬등은 온도, 시간, 온도편차 적용 자동 정밀동작
       *  개폐기, 난방 제어는 동작, 대기 및 창문 모터리미트 제한조정
       *  정전시 프로그램은 지워지지 않고 복귀된 시간 적용 프로그램 정상 운전 
       *  작물의 온도 습도 일사 데이터나 시간, 일보, 월보 등을 확인, 저장, 출력
       *  인터넷상에서 A/S 발생에 의한 모든 환경제어 프로그램 점검과 보안",농가PC,-,-,-,-,-,-,-,-
36,"시설원예, 축산",(주)이화글로벌,대한민국,환경제어기,환경제어기,ET-0808,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 센서 인풋 8CH, 아웃풋 8CH
- RS485. 422 통신 지원
- 제어 시설별 타이머 제어 기능
- 추가 확장 가능
- 각종센서(우적, 온습도, 등) 양방향 통신 
- 입, 출력 실시간 제어 및 확인 가능
- 적외선, 백색등 투광기와 연동",자체서버,-,-,-,-,-,-,-,-
37,시설원예,우리팜,대한민국,환경제어기,환경제어기,WEFC2022010001,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"1.내부CO2,내부습도,광량,일사량,내부조도,내부온도측정,2.외부습도,외부강우,강우감지,일사？,외부온도,외부풍속,외부풍향 측정.3.토양EC,지습,토양PH,지온측정.3.천창,측창,차광커튼작동여부,보온커튼작동여부,유동팬작동여부,난방기작동여부,CO2발생장치작동여부,배기팬작동여부,관수작동상태)토겨)작동여부",자체서버,-,-,-,-,-,-,-,-
38,시설원예,주식회사 이스케이프시스템,대한민국,환경제어기,환경제어기,eScapedFarms,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"- ICT 융복합 환경 제어 시스템 
- 센서노드를 이용한 환경 데이터 수집 
- 센서정보 수집
- 구동기 원격 제어",농가PC,-,-,-,-,-,-,-,-
39,시설원예,제트텍,한국,환경제어기,환경제어기,ZFARM,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,제트팜은 제트텍에서 만든 스마트팜 전용앱으로써 시설원예 생산활동에 도움을 주는 앱입니다.,자체서버,-,-,-,-,-,-,-,-
40,시설원예,제트텍,한국,환경제어기,환경제어기,ZFARM,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,제트팜은 제트텍에서 만든 스마트팜 전용앱으로써 시설원예 생산활동에 도움을 주는 앱입니다.,자체서버,-,-,-,-,-,-,-,-
41,시설원예,(주)팜패스,대한민국,환경제어기,환경제어기,팜내비,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"* 연동, 단동 시설하우스 및 첨단온실 온습도 조절 자동 개폐제어
* 유동팬, 환기팬, 난방기 등 주변기기 온오프 자동제어
* 12구역 관수 자동제어(스케줄제어 및 2모터 지원)
* 양액기 스마트폰 연동 제어
* 터치스크린 기반 자동제어, 스마트폰 원격모니터링 및 제어
* 클라우드 센서정보, 작동, 에러정보 등 기록 및 조회",자체서버,-,-,-,-,-,-,-,-
42,시설원예,(주)우성하이텍,대한민국,양액기,양액기,WIN-9000S,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,"제 10-1701394 호 , 제 10-1635010호 , 제 10-1535637 호,","- 터치식 임베디드 컴퓨터
- 8각형 혼합탱크
- 벤추리 독립순환 방식
- 모터펌프, 전자밸브 등의 개별 유닛을 정밀 제어 
- 일사·온도·수분·배액(EC·pH) 복합제어
- 12구역(2그룹 분리제어) 관수 제어
- 센서·공급·경보 데이터 저장
- EC·pH·저수위·유량 경보 기능
- TCP/IP 소켓통신",자체서버,-,-,-,-,-,-,-,-
43,시설원예,동서그린,한국,환경제어기,환경제어기,DS-F200,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"-환경정보
-온도,습도, CO2,지온,지습,감우,일사량,풍향,풍속등)
-스마트폰 원격제어
-자동설정제어
-농기계 연동 제어
-APP서비스",클라우드,-,-,-,-,-,-,-,-
44,시설원예,우림전기,대한민국,환경제어기,환경제어기,URSF-01,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"1.CCTV 모니터링과 원격제어가 동시에 가능한 복합제어시스템
2.센서와 타이머를 통한 제어
타이머, 온도센서, 우적센서를 이용하여 온실의 천창, 측창, 다겹(커텐), 차광 개폐 제어
3.사용자 맞춤 원격제어
사용자가 원격으로 수동/자동 선택 후 온실 원격제어 가능
4.강우 및 고온 감지 시 자동 작동과 상태 알림 서비스
우적센서가 감지되면 모든 작동을 중지시키고, 열려있는 창을 닫음
온실이 설정 온도보다 높을 때 고온감지를 통해 창을 열고, 저온/고온 알림의 설정한 온도가 될 경우, 사용자 스마트폰에 비상알림 제공
5.현재 센서 데이터 값 제공하여 작물이 자라는 최적의 환경 유지 및 관리",클라우드,-,-,-,-,-,-,-,-
45,시설원예,노아랩,한국,환경제어기,환경제어기,NDI4O4M,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"노아랩 자체 개발 제품으로 ICT 스마트 제어장치이며, 스마트팜 자동화, 축사환경자동화, 공장자동화, 스마트기기 자동화 등 다양한 분야에 쓰이는 제품이며 세가지 모델을 입출력을 달리하여 현장의 상태에 따라 혼용하여 사용되는 제품입니다.",자체서버,-,-,-,-,-,-,-,-
46,시설원예,SI ENG,국산,환경제어기,환경제어기,SHA-MAIN,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,10-1072881호,"환경센서를 통해 하우스의 온/습도 등을 모니터링 하고, 센서값을 활용하여 개폐기 및 휀 등을 제어한다.",농가PC,-,-,-,-,-,-,-,-
47,"시설원예, 축산",주식회사 에쿨텍,대한민국,환풍기,환풍기,AERO-VF50,O,X,X,X,O,O,X,X,X,X,X,인증 제외,해당없음,"10-2006-0064652 ,10-2006-0064650",환경제어기를 통하여 시설원예 및 축사의 환기 및 온도를 낮춰주는 기능을 가진 팬,자체서버,-,-,-,-,-,-,-,-
48,"시설원예, 축산",태진테크,대한민국,환경제어기,환경제어기,MC-V1000-8S,O,X,X,X,O,O,O,X,X,X,X,인증,해당없음,R-R-tt9-MC-V1000-8S,"220V / 60HZ
2선으로 설치편리？
경보시 문자메세지 발송
실시간 온도 및 데이터 확인가능
막사의 경보발생시 전화호출, 경보내용을 음성으로 알림
스마트폰에서도 설정가능(고온·저온·전화번호)
정전이나 누전 차단기 작동시 즉시경보
8개의 막사를 한눈에 볼 수 있다
첨단 마이컴이 이상유뮤 판단하여 신속히 경보를 알려 피해를 최소화
고온/저온/정전 경보기능
밧데리 교환램프 채용
휀 콘트롤 연결 가능(MC-550C, MC-550CII, MC-5000II, MC-5000III, MC-5100III)
통신박스 연결 가능 (MC-1015S, MC-1011NS, MC-1010S, MC-1010N, MC-1011S)？
경보시 휴대폰이나 일반 전화로 직접 경보사항을 음성으로 알림
전화번호 3개입력(1개번호당 4회호출)
ARS기능(전화로 설정 변경)
건전지가 내장되어 정전시에도 경보작동？
사이즈(가로X세로X높이)mm : 180 X 255 X 100",자체서버,-,-,-,-,-,-,-,-
49,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1010,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 냉방, 송풍, 자동운전 선택 가능
- 농축사 내부 온도센서 설치로 사용온도 자동제어
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(SUS, EGI등) - 듀얼 팬모터 적용으로 송풍량 및 출구온도차 최대효율 구현
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능
- 우레탄 바퀴 적용으로 이동성 향상
- ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
50,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1020S(냉난방기),O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 냉방, 난방 자동운전, 선택 가능 
- 농축사 내부 온도센서 설치로 사용온도 자동제어 
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(ALL-SUS) 
- 제품 연결 배관 SUS 사용하여 손쉬운 제품 관리 
- 출수온도를 항시 저온/고온으로 유지하여 탁월한 냉방/난방효과 
- 내부 공기를 직접 순환시켜 냉방/난방 효율성 극대화 
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능 - ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
51,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1020SH,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 제습, 송풍, 자동운전 선택 가능
- 농축사 내부 온도센서 설치로 사용온도 자동제어
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(ALL-SUS) 
- 제품 연결 배관 SUS 사용하여 손쉬운 제품 관리
- 내부공기 순환 방식으로 뛰어난 제습효과(최대제습량 2300ℓ이상) 
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능
- ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
52,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1010L,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 냉방, 송풍, 자동운전 선택 가능
- 농축사 내부 온도센서 설치로 사용온도 자동제어
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(SUS, EGI등) - 듀얼 팬모터 적용으로 송풍량 및 출구온도차 최대효율 구현
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능
- 우레탄 바퀴 적용으로 이동성 향상
- ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
53,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1010SH,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 제습, 송풍, 자동운전 선택 가능
- 농축사 내부 온도센서 설치로 사용온도 자동제어
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(ALL-SUS) 
- 제품 연결 배관 SUS 사용하여 손쉬운 제품 관리
- 내부공기 순환 방식으로 뛰어난 제습효과(최대제습량 1200ℓ이상) 
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능
- ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
54,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1010HU,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 제습, 송풍, 자동운전 선택 가능
- 농축사 내부 센서 설치로 제습량 및 사용온도 자동제어
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(SUS, EGI등) - 최대 제습량 1100리터이상의 성능으로 최대의 제습효율 구현
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능
- 우레탄 바퀴 적용으로 이동성 향상
- ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
55,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1010S(냉난방기),O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 냉방, 난방 자동운전, 선택 가능 
- 농축사 내부 온도센서 설치로 사용온도 자동제어 
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(ALL-SUS) 
- 제품 연결 배관 SUS 사용하여 손쉬운 제품 관리 
- 출수온도를 항시 저온/고온으로 유지하여 탁월한 냉방/난방효과 
- 내부 공기를 직접 순환시켜 냉방/난방 효율성 극대화 
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능 
- ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
56,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1010H,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 제습, 송풍, 자동운전 선택 가능
- 농축사 내부 센서 설치로 제습량 및 사용온도 자동제어
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(SUS, EGI등) - 최대 제습량 1100리터이상의 성능으로 최대의 제습효율 구현
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능
- 우레탄 바퀴 적용으로 이동성 향상
- ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
57,시설원예,글로벌스마트솔루션 주식회사,대한민국,환경제어기,환경제어기,GSS-EGF201,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,R-R-GsS-GSS-EGF201,"- ICT 무선 원격 복합 환경 제어 시스템
- 센서노드를 이용한 환경 데이터 수집
- 대시보드 형태의 관제모드
- 농장 위치/ 실시간 날씨 정보
- 센서 값 / 차트 값 / 최근 차트 값 / 누적 센서값 개별 및 복수 농가 데이터 조회
- 생육 데이터 작물 추가/삭제
- 복수 농장별 데이터 비교
- 경락시세
- 구동기 제어",자체서버,-,-,-,-,-,-,-,-
58,시설원예,(주)온더버스,대한민국,환경제어기,환경제어기,ON-1000,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,하우스 또는 온실의 환경제어장치를 현장의 제품 또는 자사의 앱/웹을 활용해 제어할 수 있도록 해주는 환경제어장치(스마트팜) 입니다.,클라우드,-,-,-,-,-,-,-,-
59,시설원예,주식회사 비바엔에스,한국,환경제어기,환경제어기,잇츠스마트팜,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"시설 관리, 센서 정보 수집, 환경 정보 수집, 센서 값을 이용한 원격 제어, 스케쥴 기능을 이용한 자동화 시스템 기능, 영농일지를 통한 작물 관리 기능",클라우드,-,-,-,-,-,-,-,-
60,"시설원예, 축산",코리아디지탈(주),한국,환경제어기,환경제어기,팜스큐브,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,스마트 센서와 컨트롤러를 이용하여 하우스 내 구동장비를 사용자가 원하는 환경으로 만드는 시스템,클라우드,-,-,-,-,-,-,-,-
61,"시설원예, 축산",(주)시스웍스,한국,냉방기,냉방기,SHP-A1010H,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"- 사용의 편리성 : 제습, 송풍, 자동운전 선택 가능
- 농축사 내부 센서 설치로 제습량 및 사용온도 자동제어
- 부식방지 자재 및 코팅 적용으로 내부식성 향상(SUS, EGI등) - 최대 제습량 1100리터이상의 성능으로 최대의 제습효율 구현
- PC 및 스마트폰 앱을 통한 제어 설정 및 정보 표시 가능
- 우레탄 바퀴 적용으로 이동성 향상
- ICT통신방식 : 유/무선",자체서버,-,-,-,-,-,-,-,-
62,"시설원예, 축산",(주)텔팜,대한민국,환경제어기,환경제어기,TF-1001,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,특허 제1480008호,"텔팜의 스마트 팜 통신제어 방식은 온,오프라인 작동방식으로 현장에 설치된 단말기는
센서측정과 제어 동작을 하고 클라우드 서버에서 메인 처리하는 방식이다.
작동방식은 클라우드 서버의 실행명령을 단말기가 받아서 각종 명령(제어)을 처리하고
처리 결과데이터를 클라우드 서버로 피드백 시킨다.
사용자가 클라우드 서버에 실행명령이나 환경설정을 보내면 클라우드 서버가 단말기에 전달하고
처리결과값을 단말기로부터 피드백 받아 클라우드 서버에 저장하고 사용자에게 결과값을
전송하는 방식이다.
모든 설정 값과 센서데이터는 실시간으로 클라우드 서버에서 가지게 된다.
통신이 두절되더라도 로컬제어기는 클라우드 서버로부터 다운 받은 제어기 속성값을
가지고 있으므로 자체 동작을 실행한다
로컬제어기가 고장 나면 새로운 로컬제어기로 교환하고 시리얼설정을 맞추어 주면 
고장 나기 전의 모든 데이터를 그대로 승계하면서 동작하게 된다.
주요기능은 원격제어기능, 센서에 의한 각스위치별로 자동제어기능, 예약기능, 클라우드서버에 
데이터 저장 및 분석 기능, 알람 기능.",클라우드,-,-,-,-,-,-,-,-
63,"시설원예, 축산",코리아데이타코퍼레이션(주),대한민국,환경제어기,환경제어기,KDC-20TFD,O,O,O,O,O,O,O,O,O,O,X,인증 제외,해당없음,,축사 ICT 통신장비 낙뢰피해 방지,기타,-,-,-,-,-,-,-,-
64,"시설원예, 축산",코리아데이타코퍼레이션(주),대한민국,환경제어기,환경제어기,KDC-100YF,O,O,O,O,O,O,O,O,X,X,X,인증 제외,해당없음,,낙뢰보호기,기타,-,-,-,-,-,-,-,-
65,시설원예,(주)피이플렉스,한국,환경제어기,환경제어기,안개분무시스템,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"환경센서를 통해 온실을 모니터링/제어 한다.
온도 및 습도를 체크하여 통합제어기로 DATA를 전송한다.
모바일로 운전조건 지정 및 온/오프 가능(설정값으로 분무량,분무시간 등 조절하여 온도 및 습도 조절)",자체서버,-,-,-,-,-,-,-,-
66,시설원예,다스텍(주),대한민국,환경제어기,환경제어기,본다우스,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"각종센스모니터링및 각종환경제어,",자체서버,-,-,-,-,-,-,-,-
67,시설원예,(주)성진시스템,한국,환경제어기,환경제어기,SJ-SMFAR-08(원예),O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"- wifi를 통한 제어
- 핸드폰 및 PC를 사용하여 원격제어(안드로이드)
- 제어포트 36ch을 사용하여 각종 제어
- 다수 사용자의 동시접속 가능
- 사용자의 환경에 맞는 커스터마이징 가능
- 우적센서 연동하여 축사지붕 자동개폐,커튼,전등,선풍기 휀,",자체서버,-,-,-,-,-,-,-,-
68,시설원예,(주)에스이디,대한민국,환경제어기,환경제어기,SED-SF-A1000,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"1. 스마트폰 앱을 통해 영상/센서 데이터 실시간 모니터링
2. 현장 개폐장치와 원격연동하여 스마트폰으로 실시간 제어
3. 온습도 등 환경센서 설정값 초과시 푸시알림
4. 정전후 복구시 정전보상기능
5. CCTV 카메라를 통한 24시간 감시 및 영상녹화
6. 4단변온온풍기를 스마트폰 앱을 통한 통신제어
7. 주기별 관리시스템
8. 자동제어 시스템
9. Co2 발생기, 관수, 조명, 냉난방 제어
10. 양액기/관비기 제어",자체서버,-,-,-,-,-,-,-,-
69,시설원예,주식회사 엔스텝,대한민국,환경제어기,환경제어기,NSFM-0832,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,#NAME?,클라우드,-,-,-,-,-,-,-,-
70,시설원예,그린랩스,한국,환경제어기,환경제어기,GLP-100,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,R-R-Gip-GLP-100,"생산관리(환경제어, CCTV모니터링, 자동복합제어)와 농장관리(인력관리, 농장관리, 비용관리), 양액기제어(수동,자동,원격정밀,환경연동제어) 기능으로 구성되어 있습니다.",클라우드,-,-,-,-,-,-,-,-
71,시설원예,(주)에스이디,대한민국,환경제어기,환경제어기,SED스마트팜,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"1. 스마트폰 앱을 통해 영상/센서 데이터 실시간 모니터링
2. 현장 개폐장치와 원격연동하여 스마트폰으로 실시간 제어
3. 온습도 등 환경센서 설정값 초과시 푸시알림
4. 정전후 복구시 정전보상기능
5. CCTV 카메라를 통한 24시간 감시 및 영상녹화
6. 4단변온온풍기를 스마트폰 앱을 통한 통신제어",자체서버,-,-,-,-,-,-,-,-
72,시설원예,(주)코리아에너시스,대한민국,환경제어기,환경제어기,NGP-109,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"- 시설원예/유리온실/돈사/계사에 적용 가능
- 농장주가 원하는 시간대와 온도, 습도를 4단 변온 설정 가능
- 사용자 설정에 따른 환경의 전체적인 제어 시스템
- LCD 터치 모니터를 통한 제어 설정 및 정보 표시 가능
- 인터넷에 접속하여 스마트폰이나 컴퓨터를 통하여 원격으로 ON/OFF 및 설정온도 변경기능
- 온실 내·외부센서를 통한 온도와 습도를 시간당 평균값으로 기록
- 습기 방지를 위해 PVC 이중도어 장착
- 컨트롤화면에 직접 데이터 그래프 표시",클라우드,-,-,-,-,-,-,-,-
73,시설원예,주식회사 이원온실산업,대한민국,환경제어기,환경제어기,ewonia3000,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"1.센서 데이터 입력 처리
2.센서 데이터를 기반으로 한 Relay Board On/Off
3.정전/강우/고온/저온 알림 데이터 전송
4.센서 데이터를 통한 온실 환기창 개폐 제어",자체서버,-,-,-,-,-,-,-,-
74,"시설원예, 축산",메를로랩,한국,기타,,스마트RGB전구,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"Red, Green, Blue LED로 제작되어 스마트폰과 연동되어 원하는 색을 조절할 수 있음
-  스마트폰 어플 연동
- Full Color 제어 
- 동시제어가능",클라우드,-,-,-,-,-,-,-,-
75,"시설원예, 축산",메를로랩,한국,기타,,스마트2Color전구,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"스마트폰 광 연동하여 색온도 3000K~5700K 로 조절 및 밝기 제어 가능
- 스마트폰 어플 사용
- 밝기제어
- 색온도 제어",클라우드,-,-,-,-,-,-,-,-
76,"시설원예, 축산",메를로랩,한국,기타,,스마트RGB투광등,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"Red, Green, Blue LED로 제작되어 스마트폰과 연동되어 원하는 색을 조절할 수 있음
-  스마트폰 어플 연동
- Full Color 제어 
- 동시제어가능",클라우드,-,-,-,-,-,-,-,-
77,"시설원예, 축산",메를로랩,한국,기타,,IotDC공장등,O,O,O,O,O,O,O,O,O,O,X,인증 제외,해당없음,,"본 제품은 무선통신기술이 접목된 공장등으로써  마스터 설치 후 공등응을 등록하여 사용할수 있다
메를로랩 자체에서 개발된 메쉬네트웍 기술이 적용되어 많은 공장등을어플을 통한 동시 제어가 가능하다
- 원격 On/Off, 밝기 제어
- 스마트폰 어플 및 PC를 통한 제어
- 서버를 통한 원격제어 및 상태확인
- 스케쥴 기능
- 원거리 노드의 경우 메쉬네트웍의 홉기능을 통한 통신거리 확장 및 제어 가능",클라우드,-,-,-,-,-,-,-,-
78,시설원예,아이오크롭스(주),대한민국,환경제어기,환경제어기,팜인원,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"온실내 환경데이터 측정
- 실시간 클라우드 업로드
- 환경제어기 데이터 호환
- 전원 plug & play (Wifi or LTE 무선통신)",클라우드,-,-,-,-,-,-,-,-
79,시설원예,(주)유비엔,대한민국,기타,,팜링크,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,제 10-2015-0105133 호 / 농수축산 시설 자동화용 분산 네트워크 시스템,"클라우드 서비스
무선 통신 기술 적용으로 장비의 설치 및 이전 용이, 시스템 확장 및 추가 편리
전체제어/개별제어 기능
자동화 기능",클라우드,-,-,-,-,-,-,-,-
80,시설원예,제이에이(JA)테크,한국,환경제어기,환경제어기,TSC-3000,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,,"전국어디서나 컴퓨터,휴대폰으로 원격조정 기능 컴퓨터 ,휴대폰으로 온도,습도,CO2를 확인 및 설정가능하며 데이터에 의한 자동동작 및 수동동작 기능  작동중인 개페,관수,양액,환풍기,온풍기등을 확인하며 고온경보,저온경보,화재경보,정전경보 발생시 문자 메세지 전송기능이 있습니다.
또한 시간설정및 타임동작기능과 개폐기 한계설정기능 보온커튼 5단게 시간동작 기능 영농정보 입력 기능및 온도,습도,CO2데이터 저장및 그래프기능이 있습니다.
스마트 통합제어 시스템은 485통신을 통해 온도,습도,CO2등의 정보를 받아들여 데이터를 저장하고 정해진 데이터의 값에 의해 자동으로 환풍기,개폐기,커튼,양액기등을 동작시킵니다. 또한,관리자가 필요에 따라 자동 수동으로 조작을 할 수 있습니다.",자체서버,-,-,-,-,-,-,-,-
81,"시설원예, 축산",주식회사 와치캠,대한민국,기타,,WAP-100-V2,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,R-R-wch-WAP-100,"- 무선 전송속도 150Mbps
- 5.8GHz, DIP S/W
- PoE 48V 1A",자체서버,-,-,-,-,-,-,-,-
82,"시설원예, 축산",주식회사 와치캠,대한민국,기타,,WPH-600P,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,카메라 전원공급,자체서버,-,-,-,-,-,-,-,-
83,시설원예,(주)다함,한국,환경제어기,환경제어기,다함팜,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"1.각 센서로 온실 내/외부의 환경을 감지.
2.감지된 환경 정보를 통합환경 시스템이 분석/판단
3.빅데이터와 분석된 정보를 토대로 구동기를 자동 제어
온실 규모와 환경에 따라 구성을 변경할 수 있습니다",자체서버,-,-,-,-,-,-,-,-
84,시설원예,(주)이레아이에스,대한민국,환경제어기,환경제어기,RMFarm,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,제10-1404518호,"근권부 함수율 정보 제공(무게, 양액)
다양한 측정 정보 실시간 제공(그래프, 데이터)
정확한 환경정보 제공(공기 순환형 팬 적용 온습도 센서)",자체서버,-,-,-,-,-,-,-,-
85,"시설원예, 축산",코리아데이타코퍼레이션(주),대한민국,냉방기,냉방기,ASCU-150,O,O,O,O,O,O,O,O,X,O,X,인증 제외,해당없음,,전외기 타입 냉방기,농가PC,-,-,-,-,-,-,-,-
86,시설원예,주식회사 솔레노이드시스템,대한민국,환경제어기,환경제어기,MAC-IT,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"아이티 관비시스템
1.구역별 물량최대 99분까지 가능
2.컴퓨터 연동 USER INTERFACE 프로그램포함
3.토양수분센서에 의한 관비가능",클라우드,-,-,-,-,-,-,-,-
87,시설원예,주식회사 솔레노이드시스템,대한민국,양액기,양액기,SNSV6-TOUCH-IT,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"양액시스템

- 지습에 의한 관수 제어 프로그램 (지습센서 설치시. 옵션)  
- 일사에 의한 관수 제어 프로그램 (광센서 설치시. 옵션)     
- 사용자 편의를 위한 긴급 관수 정지 프로그램    
- 사용자 편의를 위한 1회관수 프로그램     
- 사용하지 않는 구역 선택,해제 프로그램     
- 관수 시간마다 원수(맹물) 또는 액비+원수 선택 프로그램     
- 산/ 알칼리 운전 선택 프로그램     
- 유량(Purse)제어 /시간 제어 프로그램 (물량설정시)    
- 구역별 EC,pH 제어 프로그램    
- 기본 2개의 양액 공급채널 프로그램 (추가가능. 옵션)    
- 구역상세설정 프로그램 : 기본 24회의 시작프로그램     
- 양액간편설정 프로그램 : 기본 99회의 시작프로그램     
- 기본 10구역  제어 프로그램2. 제어 소프트웨어 프로그램",클라우드,-,-,-,-,-,-,-,-
